language,content_type,total_no
Bengali,Movie,35
Bengali,Series,24
Bengali,Sports,1
English,Movie,359
English,Series,335
English,Sports,106
Gujarati,Movie,11
Gujarati,Series,16
Gujarati,Sports,1
Hindi,Movie,295
Hindi,Series,165
Hindi,Sports,177
Kannada,Movie,70
Kannada,Series,41
Kannada,Sports,10
Malayalam,Movie,70
Malayalam,Series,41
Malayalam,Sports,7
Marathi,Movie,47
Marathi,Series,24
Marathi,Sports,3
Punjabi,Movie,11
Punjabi,Series,16
Tamil,Movie,141
Tamil,Series,82
Tamil,Sports,28
Telugu,Movie,141
Telugu,Series,82
Telugu,Sports,21
