city_tier,age_group,subscription_plan,total
"Tier 1",18-24,Free,916
"Tier 1",18-24,Premium,1773
"Tier 1",18-24,VIP,1704
"Tier 1",25-34,Free,2259
"Tier 1",25-34,Premium,4537
"Tier 1",25-34,VIP,4648
"Tier 1",35-44,Free,1305
"Tier 1",35-44,Premium,2602
"Tier 1",35-44,VIP,2501
"Tier 1",45+,Free,631
"Tier 1",45+,Premium,1266
"Tier 1",45+,VIP,1309
"Tier 2",18-24,Free,689
"Tier 2",18-24,Premium,424
"Tier 2",18-24,VIP,1166
"Tier 2",25-34,Free,1884
"Tier 2",25-34,Premium,1118
"Tier 2",25-34,VIP,3038
"Tier 2",35-44,Free,990
"Tier 2",35-44,Premium,656
"Tier 2",35-44,VIP,1788
"Tier 2",45+,Free,501
"Tier 2",45+,Premium,368
"Tier 2",45+,VIP,802
"Tier 3",18-24,Free,514
"Tier 3",18-24,Premium,108
"Tier 3",18-24,VIP,382
"Tier 3",25-34,Free,1315
"Tier 3",25-34,Premium,283
"Tier 3",25-34,VIP,987
"Tier 3",35-44,Free,716
"Tier 3",35-44,Premium,159
"Tier 3",35-44,VIP,557
"Tier 3",45+,Free,376
"Tier 3",45+,Premium,73
"Tier 3",45+,VIP,275
